Pedido,CodigoProduto,ChaveCliente,Data,Quantidade,PrecoUnitario,ValorLiquido,EhDevolucao
536974,22892,12682,2010-12-03,12,1.25,15.0,0
536974,22027,12682,2010-12-03,12,0.42,5.04,0
536974,20749,12682,2010-12-03,2,7.95,15.9,0
536974,20750,12682,2010-12-03,2,7.95,15.9,0
536974,21700,12682,2010-12-03,12,0.85,10.2,0
536974,22748,12682,2010-12-03,6,2.1,12.6,0
536974,22080,12682,2010-12-03,10,1.65,16.5,0
536974,20725,12682,2010-12-03,10,1.65,16.5,0
536974,20726,12682,2010-12-03,10,1.65,16.5,0
536974,POST,12682,2010-12-03,2,18.0,36.0,0
537065,22837,12567,2010-12-05,8,4.65,37.2,0
537065,22846,12567,2010-12-05,1,16.95,16.95,0
537065,22892,12567,2010-12-05,12,1.25,15.0,0
537065,22968,12567,2010-12-05,8,8.5,68.0,0
537065,84678,12567,2010-12-05,6,2.55,15.3,0
537065,20665,12567,2010-12-05,6,2.95,17.7,0
537065,21786,12567,2010-12-05,24,0.42,10.08,0
537065,21787,12567,2010-12-05,24,0.85,20.4,0
537065,20750,12567,2010-12-05,6,7.95,47.7,0
537065,20749,12567,2010-12-05,2,7.95,15.9,0
537065,21774,12567,2010-12-05,12,1.25,15.0,0
537065,21121,12567,2010-12-05,24,1.25,30.0,0
537065,21439,12567,2010-12-05,12,1.25,15.0,0
537065,47566,12567,2010-12-05,5,4.65,23.25,0
537065,22727,12567,2010-12-05,4,3.75,15.0,0
537065,22726,12567,2010-12-05,4,3.75,15.0,0
537065,22728,12567,2010-12-05,4,3.75,15.0,0
537065,22729,12567,2010-12-05,4,3.75,15.0,0
537065,22243,12567,2010-12-05,12,1.65,19.8,0
537065,22467,12567,2010-12-05,6,2.55,15.3,0
537065,22318,12567,2010-12-05,6,2.95,17.7,0
537065,21195,12567,2010-12-05,6,2.1,12.6,0
537065,20725,12567,2010-12-05,10,1.65,16.5,0
537065,20726,12567,2010-12-05,20,1.65,33.0,0
537065,20728,12567,2010-12-05,10,1.65,16.5,0
537065,21559,12567,2010-12-05,6,2.55,15.3,0
537065,22326,12567,2010-12-05,6,2.95,17.7,0
537065,22352,12567,2010-12-05,6,2.55,15.3,0
537065,21555,12567,2010-12-05,6,2.55,15.3,0
537065,21533,12567,2010-12-05,3,4.95,14.85,0
537065,21539,12567,2010-12-05,3,4.95,14.85,0
537065,22423,12567,2010-12-05,2,12.75,25.5,0
537065,84997A,12567,2010-12-05,6,3.75,22.5,0
537065,84997B,12567,2010-12-05,6,3.75,22.5,0
537065,84997C,12567,2010-12-05,6,3.75,22.5,0
537065,84279P,12567,2010-12-05,4,3.75,15.0,0
537065,22634,12567,2010-12-05,2,9.95,19.9,0
537065,22635,12567,2010-12-05,2,9.95,19.9,0
537065,22636,12567,2010-12-05,2,8.5,17.0,0
537065,22180,12567,2010-12-05,4,9.95,39.8,0
537065,21980,12567,2010-12-05,24,0.29,6.96,0
537065,21981,12567,2010-12-05,24,0.29,6.96,0
537065,21982,12567,2010-12-05,24,0.29,6.96,0
537065,22614,12567,2010-12-05,24,0.29,6.96,0
537065,22615,12567,2010-12-05,24,0.29,6.96,0
537065,84870B,12567,2010-12-05,4,3.75,15.0,0
537065,84870C,12567,2010-12-05,4,3.75,15.0,0
537065,22554,12567,2010-12-05,12,1.65,19.8,0
537065,22551,12567,2010-12-05,12,1.65,19.8,0
537065,16238,12567,2010-12-05,28,0.21,5.88,0
537065,85227,12567,2010-12-05,12,0.85,10.2,0
537065,22632,12567,2010-12-05,12,2.1,25.2,0
537065,21829,12567,2010-12-05,36,0.21,7.56,0
537065,21556,12567,2010-12-05,6,2.55,15.3,0
537065,22644,12567,2010-12-05,12,1.45,17.4,0
537065,22390,12567,2010-12-05,6,2.55,15.3,0
537065,22483,12567,2010-12-05,6,2.95,17.7,0
537065,21054,12567,2010-12-05,6,8.95,53.7,0
537065,21055,12567,2010-12-05,6,8.95,53.7,0
537065,21892,12567,2010-12-05,12,1.25,15.0,0
537065,22619,12567,2010-12-05,4,3.75,15.0,0
537065,84963A,12567,2010-12-05,4,42.95,171.8,0
537065,POST,12567,2010-12-05,9,18.0,162.0,0
537463,22961,12681,2010-12-07,12,1.45,17.4,0
537463,21224,12681,2010-12-07,10,1.25,12.5,0
537463,22326,12681,2010-12-07,18,2.95,53.1,0
537463,21124,12681,2010-12-07,24,1.25,30.0,0
537463,21121,12681,2010-12-07,24,1.25,30.0,0
537463,21137,12681,2010-12-07,4,3.75,15.0,0
537463,22041,12681,2010-12-07,6,2.55,15.3,0
537463,22037,12681,2010-12-07,12,0.42,5.04,0
537463,22027,12681,2010-12-07,12,0.42,5.04,0
537463,21506,12681,2010-12-07,12,0.42,5.04,0
537463,21064,12681,2010-12-07,4,5.95,23.8,0
537463,21238,12681,2010-12-07,16,0.85,13.6,0
537463,22191,12681,2010-12-07,2,8.5,17.0,0
537463,22352,12681,2010-12-07,6,2.55,15.3,0
537463,21559,12681,2010-12-07,6,2.55,15.3,0
537463,22181,12681,2010-12-07,12,0.85,10.2,0
537463,21700,12681,2010-12-07,12,0.85,10.2,0
537463,20719,12681,2010-12-07,10,0.85,8.5,0
537463,21680,12681,2010-12-07,12,0.85,10.2,0
537463,22554,12681,2010-12-07,12,1.65,19.8,0
537463,21212,12681,2010-12-07,24,0.55,13.2,0
537463,22312,12681,2010-12-07,24,2.95,70.8,0
537463,22313,12681,2010-12-07,18,2.95,53.1,0
537463,22301,12681,2010-12-07,18,2.55,45.9,0
537463,22300,12681,2010-12-07,12,2.55,30.6,0
537463,22894,12681,2010-12-07,4,8.5,34.0,0
537463,22365,12681,2010-12-07,2,7.95,15.9,0
537463,20682,12681,2010-12-07,6,3.25,19.5,0
537463,20681,12681,2010-12-07,6,3.25,19.5,0
537463,84692,12681,2010-12-07,25,0.42,10.5,0
537463,22467,12681,2010-12-07,36,2.1,75.6,0
537463,22413,12681,2010-12-07,6,2.95,17.7,0
537463,22892,12681,2010-12-07,12,1.25,15.0,0
537463,22908,12681,2010-12-07,12,0.85,10.2,0
537463,22348,12681,2010-12-07,36,0.85,30.6,0
537463,21719,12681,2010-12-07,12,0.85,10.2,0
537463,21721,12681,2010-12-07,12,0.85,10.2,0
537463,21544,12681,2010-12-07,12,0.85,10.2,0
537463,22895,12681,2010-12-07,6,2.95,17.7,0
537463,21731,12681,2010-12-07,72,1.65,118.8,0
537463,POST,12681,2010-12-07,4,18.0,72.0,0
537468,22114,12567,2010-12-07,4,3.95,15.8,0
537468,21485,12567,2010-12-07,6,4.95,29.7,0
537468,22837,12567,2010-12-07,4,4.65,18.6,0
537468,22113,12567,2010-12-07,4,3.75,15.0,0
537468,22111,12567,2010-12-07,3,4.95,14.85,0
537468,22110,12567,2010-12-07,12,2.55,30.6,0
537468,22558,12567,2010-12-07,12,1.49,17.88,0
537468,22749,12567,2010-12-07,4,3.75,15.0,0
537468,22750,12567,2010-12-07,4,3.75,15.0,0
537468,22272,12567,2010-12-07,6,2.95,17.7,0
537468,20725,12567,2010-12-07,10,1.65,16.5,0
537468,22383,12567,2010-12-07,10,1.65,16.5,0
537468,22382,12567,2010-12-07,10,1.65,16.5,0
537468,22418,12567,2010-12-07,24,0.85,20.4,0
537468,22745,12567,2010-12-07,6,2.1,12.6,0
537468,22748,12567,2010-12-07,6,2.1,12.6,0
537468,22747,12567,2010-12-07,6,2.1,12.6,0
537468,22531,12567,2010-12-07,24,0.42,10.08,0
537468,POST,12567,2010-12-07,3,18.0,54.0,0
537468,22654,12567,2010-12-07,9,5.95,53.55,0
537693,22710,12441,2010-12-08,25,0.42,10.5,0
537693,22052,12441,2010-12-08,25,0.42,10.5,0
537693,22051,12441,2010-12-08,25,0.42,10.5,0
537693,22910,12441,2010-12-08,6,2.95,17.7,0
537693,22086,12441,2010-12-08,6,2.95,17.7,0
537693,22742,12441,2010-12-08,6,2.95,17.7,0
537693,22744,12441,2010-12-08,6,2.95,17.7,0
537693,37495,12441,2010-12-08,4,3.75,15.0,0
537693,47566B,12441,2010-12-08,5,4.65,23.25,0
537693,85049A,12441,2010-12-08,12,1.25,15.0,0
537693,POST,12441,2010-12-08,1,18.0,18.0,0
C537893,22450,12721,2010-12-09,-1,3.35,-3.35,1
C537893,22634,12721,2010-12-09,-2,9.95,-19.9,1
C537893,22630,12721,2010-12-09,-2,1.95,-3.9,1
537897,POST,12683,2010-12-09,1,18.0,18.0,0
537897,22601,12683,2010-12-09,12,0.85,10.2,0
537897,22661,12683,2010-12-09,20,0.85,17.0,0
537897,22255,12683,2010-12-09,12,0.85,10.2,0
537897,21731,12683,2010-12-09,12,1.65,19.8,0
537897,22752,12683,2010-12-09,2,8.5,17.0,0
537897,84029E,12683,2010-12-09,4,3.75,15.0,0
537897,21481,12683,2010-12-09,6,2.95,17.7,0
537897,22454,12683,2010-12-09,6,2.95,17.7,0
537897,22558,12683,2010-12-09,12,1.49,17.88,0
537897,22974,12683,2010-12-09,12,1.65,19.8,0
537897,20685,12683,2010-12-09,2,7.95,15.9,0
537897,22495,12683,2010-12-09,6,2.95,17.7,0
537967,21843,12494,2010-12-09,2,10.95,21.9,0
537967,22667,12494,2010-12-09,6,2.95,17.7,0
537967,POST,12494,2010-12-09,1,18.0,18.0,0
538008,22331,12683,2010-12-09,16,1.65,26.4,0
538008,22907,12683,2010-12-09,24,0.85,20.4,0
538008,22908,12683,2010-12-09,24,0.85,20.4,0
538008,22909,12683,2010-12-09,12,0.85,10.2,0
538008,20972,12683,2010-12-09,12,1.25,15.0,0
538008,22938,12683,2010-12-09,12,1.95,23.4,0
538008,47599A,12683,2010-12-09,12,2.1,25.2,0
538008,47599B,12683,2010-12-09,12,2.1,25.2,0
538008,22704,12683,2010-12-09,25,0.42,10.5,0
538008,22894,12683,2010-12-09,2,8.5,17.0,0
538008,22895,12683,2010-12-09,6,2.95,17.7,0
538008,22897,12683,2010-12-09,10,1.45,14.5,0
538008,22898,12683,2010-12-09,8,1.95,15.6,0
538008,22705,12683,2010-12-09,25,0.42,10.5,0
538008,22636,12683,2010-12-09,4,8.5,34.0,0
538008,22630,12683,2010-12-09,12,1.95,23.4,0
538008,22899,12683,2010-12-09,12,2.1,25.2,0
538008,22333,12683,2010-12-09,16,1.65,26.4,0
538008,84997D,12683,2010-12-09,6,3.75,22.5,0
538008,22352,12683,2010-12-09,6,2.55,15.3,0
538008,21559,12683,2010-12-09,6,2.55,15.3,0
538008,22859,12683,2010-12-09,6,1.65,9.9,0
538008,22951,12683,2010-12-09,24,0.55,13.2,0
538008,84992,12683,2010-12-09,24,0.55,13.2,0
538008,21086,12683,2010-12-09,12,0.65,7.8,0
538008,21094,12683,2010-12-09,12,0.85,10.2,0
538008,21154,12683,2010-12-09,10,1.25,12.5,0
538008,21843,12683,2010-12-09,2,10.95,21.9,0
538008,22435,12683,2010-12-09,12,1.25,15.0,0
538008,22437,12683,2010-12-09,20,0.85,17.0,0
538008,22972,12683,2010-12-09,12,1.65,19.8,0
538008,22973,12683,2010-12-09,12,1.65,19.8,0
538008,22974,12683,2010-12-09,12,1.65,19.8,0
538008,22975,12683,2010-12-09,12,1.25,15.0,0
538008,22976,12683,2010-12-09,12,1.25,15.0,0
538008,22977,12683,2010-12-09,12,1.25,15.0,0
538008,21121,12683,2010-12-09,24,1.25,30.0,0
538008,21123,12683,2010-12-09,24,1.25,30.0,0
538008,21124,12683,2010-12-09,24,1.25,30.0,0
538008,21122,12683,2010-12-09,24,1.25,30.0,0
538008,POST,12683,2010-12-09,5,18.0,90.0,0
538093,22736,12682,2010-12-09,10,1.65,16.5,0
538093,22738,12682,2010-12-09,10,1.65,16.5,0
538093,20679,12682,2010-12-09,12,5.95,71.4,0
538093,15056BL,12682,2010-12-09,12,5.95,71.4,0
538093,22077,12682,2010-12-09,12,1.65,19.8,0
538093,21731,12682,2010-12-09,12,1.65,19.8,0
538093,21791,12682,2010-12-09,12,1.25,15.0,0
538093,22620,12682,2010-12-09,12,1.25,15.0,0
538093,22551,12682,2010-12-09,12,1.65,19.8,0
538093,22556,12682,2010-12-09,12,1.65,19.8,0
538093,22386,12682,2010-12-09,10,1.95,19.5,0
538093,22385,12682,2010-12-09,10,1.95,19.5,0
538093,20725,12682,2010-12-09,10,1.65,16.5,0
538093,20726,12682,2010-12-09,10,1.65,16.5,0
538093,22383,12682,2010-12-09,10,1.65,16.5,0
538093,22382,12682,2010-12-09,10,1.65,16.5,0
538093,21559,12682,2010-12-09,12,2.55,30.6,0
538093,21558,12682,2010-12-09,6,2.55,15.3,0
538093,22961,12682,2010-12-09,12,1.45,17.4,0
538093,21452,12682,2010-12-09,6,2.95,17.7,0
538093,85232D,12682,2010-12-09,3,4.95,14.85,0
538093,20749,12682,2010-12-09,2,7.95,15.9,0
538093,20750,12682,2010-12-09,4,7.95,31.8,0
538093,22554,12682,2010-12-09,12,1.65,19.8,0
538093,21700,12682,2010-12-09,12,0.85,10.2,0
538093,22197,12682,2010-12-09,12,0.85,10.2,0
538093,22319,12682,2010-12-09,12,0.65,7.8,0
538093,22321,12682,2010-12-09,12,0.85,10.2,0
538093,22909,12682,2010-12-09,12,0.85,10.2,0
538093,22948,12682,2010-12-09,24,0.85,20.4,0
538093,10002,12682,2010-12-09,12,0.85,10.2,0
538093,22082,12682,2010-12-09,10,1.65,16.5,0
538093,POST,12682,2010-12-09,5,18.0,90.0,0
538196,POST,12731,2010-12-10,8,18.0,144.0,0
538196,84879,12731,2010-12-10,120,1.69,202.8,0
538196,10002,12731,2010-12-10,36,0.85,30.6,0
538196,20725,12731,2010-12-10,10,1.65,16.5,0
538196,22549,12731,2010-12-10,24,1.45,34.8,0
538196,21889,12731,2010-12-10,24,1.25,30.0,0
538196,22560,12731,2010-12-10,24,1.25,30.0,0
538196,21915,12731,2010-12-10,24,1.25,30.0,0
538196,21914,12731,2010-12-10,24,1.25,30.0,0
538196,22558,12731,2010-12-10,24,1.49,35.76,0
538196,21527,12731,2010-12-10,12,6.95,83.4,0
538196,21533,12731,2010-12-10,12,4.25,51.0,0
538196,21507,12731,2010-12-10,12,0.42,5.04,0
538196,20682,12731,2010-12-10,24,3.25,78.0,0
538196,48138,12731,2010-12-10,20,6.75,135.0,0
538196,20685,12731,2010-12-10,20,6.75,135.0,0
539050,21069,12577,2010-12-15,1,1.25,1.25,0
539050,21328,12577,2010-12-15,1,1.65,1.65,0
539050,22631,12577,2010-12-15,1,1.95,1.95,0
539050,20751,12577,2010-12-15,1,2.1,2.1,0
539050,84826,12577,2010-12-15,2,0.85,1.7,0
539050,21161,12577,2010-12-15,1,1.45,1.45,0
539050,21027,12577,2010-12-15,1,1.25,1.25,0
539050,21026,12577,2010-12-15,1,1.25,1.25,0
539050,22435,12577,2010-12-15,2,1.25,2.5,0
539050,20983,12577,2010-12-15,1,0.85,0.85,0
539050,22696,12577,2010-12-15,1,1.95,1.95,0
539050,22469,12577,2010-12-15,2,1.65,3.3,0
539050,84744,12577,2010-12-15,1,1.25,1.25,0
539050,21030,12577,2010-12-15,1,1.25,1.25,0
539050,85116,12577,2010-12-15,3,2.1,6.3,0
539050,21901,12577,2010-12-15,1,0.65,0.65,0
539050,21900,12577,2010-12-15,1,0.65,0.65,0
539050,21294,12577,2010-12-15,4,1.25,5.0,0
539050,22076,12577,2010-12-15,1,1.65,1.65,0
539050,85049E,12577,2010-12-15,1,1.25,1.25,0
539050,85049H,12577,2010-12-15,1,1.25,1.25,0
539050,22945,12577,2010-12-15,6,0.85,5.1,0
539050,22638,12577,2010-12-15,1,2.55,2.55,0
539050,22604,12577,2010-12-15,1,2.55,2.55,0
539050,21986,12577,2010-12-15,1,0.29,0.29,0
539050,21980,12577,2010-12-15,1,0.29,0.29,0
539050,21985,12577,2010-12-15,1,0.29,0.29,0
539050,21981,12577,2010-12-15,1,0.29,0.29,0
539050,21982,12577,2010-12-15,2,0.29,0.58,0
539050,22759,12577,2010-12-15,2,1.65,3.3,0
539050,22151,12577,2010-12-15,10,0.42,4.2,0
539050,84378,12577,2010-12-15,1,1.25,1.25,0
539050,22739,12577,2010-12-15,1,1.65,1.65,0
539050,22079,12577,2010-12-15,1,1.65,1.65,0
539050,22078,12577,2010-12-15,1,2.1,2.1,0
539050,22082,12577,2010-12-15,1,1.65,1.65,0
539050,20961,12577,2010-12-15,1,1.25,1.25,0
539050,20966,12577,2010-12-15,1,1.25,1.25,0
539050,22909,12577,2010-12-15,1,0.85,0.85,0
539050,22910,12577,2010-12-15,1,2.95,2.95,0
539050,22399,12577,2010-12-15,1,1.25,1.25,0
539050,22413,12577,2010-12-15,1,2.95,2.95,0
539050,22403,12577,2010-12-15,1,1.25,1.25,0
539050,22402,12577,2010-12-15,1,1.25,1.25,0
539050,21012,12577,2010-12-15,2,2.1,4.2,0
539050,22720,12577,2010-12-15,1,4.95,4.95,0
539050,22374,12577,2010-12-15,1,4.25,4.25,0
539050,22375,12577,2010-12-15,1,4.25,4.25,0
539050,21578,12577,2010-12-15,1,2.25,2.25,0
539050,21576,12577,2010-12-15,2,2.25,4.5,0
539050,22094,12577,2010-12-15,1,1.25,1.25,0
539050,47594A,12577,2010-12-15,1,1.95,1.95,0
539050,47594B,12577,2010-12-15,1,1.95,1.95,0
539050,22482,12577,2010-12-15,2,1.25,2.5,0
539050,22480,12577,2010-12-15,2,1.25,2.5,0
539050,22093,12577,2010-12-15,1,1.25,1.25,0
539050,22801,12577,2010-12-15,1,3.75,3.75,0
539050,22174,12577,2010-12-15,6,1.65,9.9,0
539050,84947,12577,2010-12-15,12,1.25,15.0,0
539050,84836,12577,2010-12-15,12,1.25,15.0,0
539050,21326,12577,2010-12-15,12,0.65,7.8,0
539050,20967,12577,2010-12-15,1,3.75,3.75,0
539050,22749,12577,2010-12-15,1,3.75,3.75,0
539050,22940,12577,2010-12-15,1,4.25,4.25,0
539050,20972,12577,2010-12-15,1,1.25,1.25,0
539050,22785,12577,2010-12-15,2,6.75,13.5,0
539050,21034,12577,2010-12-15,1,0.95,0.95,0
C539104,22662,12494,2010-12-16,-3,1.65,-4.95,1
539113,22662,12494,2010-12-16,3,1.65,4.95,0
C539114,22667,12494,2010-12-16,-3,2.95,-8.85,1
539407,22264,12726,2010-12-17,192,0.19,36.48,0
539407,22492,12726,2010-12-17,72,0.65,46.8,0
539407,22255,12726,2010-12-17,48,0.85,40.8,0
539407,21914,12726,2010-12-17,12,1.25,15.0,0
539407,22333,12726,2010-12-17,8,1.65,13.2,0
539407,POST,12726,2010-12-17,1,18.0,18.0,0
539435,21731,12691,2010-12-17,36,1.65,59.4,0
539435,22326,12691,2010-12-17,12,2.95,35.4,0
539435,20750,12691,2010-12-17,4,7.95,31.8,0
539435,21452,12691,2010-12-17,12,2.95,35.4,0
539435,POST,12691,2010-12-17,1,18.0,18.0,0
539551,21731,12721,2010-12-20,12,1.65,19.8,0
539551,22466,12721,2010-12-20,24,1.95,46.8,0
539551,84051,12721,2010-12-20,10,0.85,8.5,0
539551,84050,12721,2010-12-20,12,1.65,19.8,0
539551,21355,12721,2010-12-20,12,1.25,15.0,0
539551,20726,12721,2010-12-20,10,1.65,16.5,0
539551,22331,12721,2010-12-20,8,1.65,13.2,0
539551,22333,12721,2010-12-20,8,1.65,13.2,0
539551,20682,12721,2010-12-20,6,3.25,19.5,0
539551,20681,12721,2010-12-20,6,3.25,19.5,0
539551,15056N,12721,2010-12-20,3,5.95,17.85,0
539551,15056P,12721,2010-12-20,3,5.95,17.85,0
539551,85135C,12721,2010-12-20,2,7.95,15.9,0
539551,22834,12721,2010-12-20,12,2.1,25.2,0
539551,POST,12721,2010-12-20,1,18.0,18.0,0
539607,84997D,12681,2010-12-20,6,3.75,22.5,0
539607,22895,12681,2010-12-20,6,2.95,17.7,0
539607,21731,12681,2010-12-20,24,1.65,39.6,0
539607,22976,12681,2010-12-20,12,1.25,15.0,0
539607,22966,12681,2010-12-20,12,1.25,15.0,0
539607,22970,12681,2010-12-20,18,2.55,45.9,0
539607,22973,12681,2010-12-20,24,1.65,39.6,0
539607,21065,12681,2010-12-20,4,5.95,23.8,0
539607,22504,12681,2010-12-20,3,12.75,38.25,0
539607,21224,12681,2010-12-20,10,1.25,12.5,0
539607,22356,12681,2010-12-20,10,0.85,8.5,0
539607,21137,12681,2010-12-20,4,3.75,15.0,0
539607,22041,12681,2010-12-20,6,2.55,15.3,0
539607,22029,12681,2010-12-20,12,0.42,5.04,0
539607,21506,12681,2010-12-20,12,0.42,5.04,0
539607,22961,12681,2010-12-20,12,1.45,17.4,0
539607,21240,12681,2010-12-20,8,0.85,6.8,0
539607,21086,12681,2010-12-20,12,0.65,7.8,0
539607,21987,12681,2010-12-20,12,0.65,7.8,0
539607,48138,12681,2010-12-20,2,7.95,15.9,0
539607,22555,12681,2010-12-20,12,1.65,19.8,0
539607,22556,12681,2010-12-20,24,1.65,39.6,0
539607,22554,12681,2010-12-20,24,1.65,39.6,0
539607,82600,12681,2010-12-20,12,2.1,25.2,0
539607,22413,12681,2010-12-20,6,2.95,17.7,0
539607,22197,12681,2010-12-20,24,0.85,20.4,0
539607,22198,12681,2010-12-20,12,1.65,19.8,0
539607,20617,12681,2010-12-20,6,2.1,12.6,0
539607,21864,12681,2010-12-20,6,2.1,12.6,0
539607,21865,12681,2010-12-20,6,2.1,12.6,0
539607,22892,12681,2010-12-20,12,1.25,15.0,0
539607,21883,12681,2010-12-20,24,0.19,4.56,0
539607,22652,12681,2010-12-20,30,1.65,49.5,0
539607,21080,12681,2010-12-20,24,0.85,20.4,0
539607,22352,12681,2010-12-20,6,2.55,15.3,0
539607,21559,12681,2010-12-20,6,2.55,15.3,0
539607,21700,12681,2010-12-20,24,0.85,20.4,0
539607,22181,12681,2010-12-20,12,0.85,10.2,0
539607,20750,12681,2010-12-20,4,7.95,31.8,0
539607,21213,12681,2010-12-20,24,0.55,13.2,0
539607,21976,12681,2010-12-20,24,0.55,13.2,0
539607,22314,12681,2010-12-20,6,2.95,17.7,0
539607,22312,12681,2010-12-20,12,2.95,35.4,0
539607,22302,12681,2010-12-20,24,2.55,61.2,0
539607,22303,12681,2010-12-20,24,2.55,61.2,0
539607,22365,12681,2010-12-20,2,7.95,15.9,0
539607,POST,12681,2010-12-20,5,18.0,90.0,0
539688,C2,12678,2010-12-21,1,150.0,150.0,0
539727,22933,12678,2010-12-21,6,2.95,17.7,0
539727,22934,12678,2010-12-21,6,2.95,17.7,0
539727,22558,12678,2010-12-21,12,1.49,17.88,0
539727,POST,12678,2010-12-21,1,18.0,18.0,0
539829,82613D,12734,2010-12-22,20,0.42,8.4,0
539829,82613B,12734,2010-12-22,20,0.42,8.4,0
539829,22223,12734,2010-12-22,24,1.95,46.8,0
539829,22222,12734,2010-12-22,24,1.95,46.8,0
C540151,21843,12494,2011-01-05,-1,10.95,-10.95,1
C540156,21843,12683,2011-01-05,-1,10.95,-10.95,1
540178,22966,12681,2011-01-05,12,1.25,15.0,0
540178,21881,12681,2011-01-05,24,0.19,4.56,0
540178,22504,12681,2011-01-05,3,12.75,38.25,0
540178,20973,12681,2011-01-05,24,0.65,15.6,0
540178,20975,12681,2011-01-05,24,0.65,15.6,0
540178,22895,12681,2011-01-05,6,2.95,17.7,0
540178,22348,12681,2011-01-05,24,0.85,20.4,0
540178,21989,12681,2011-01-05,12,0.85,10.2,0
540178,22892,12681,2011-01-05,12,1.25,15.0,0
540178,22467,12681,2011-01-05,6,2.55,15.3,0
540178,21708,12681,2011-01-05,4,4.95,19.8,0
540178,20682,12681,2011-01-05,6,3.25,19.5,0
540178,20686,12681,2011-01-05,6,3.25,19.5,0
540178,21706,12681,2011-01-05,4,4.95,19.8,0
540178,22554,12681,2011-01-05,12,1.65,19.8,0
540178,22556,12681,2011-01-05,12,1.65,19.8,0
540178,22894,12681,2011-01-05,2,8.5,17.0,0
540178,22365,12681,2011-01-05,2,7.95,15.9,0
540178,22313,12681,2011-01-05,6,2.95,17.7,0
540178,22314,12681,2011-01-05,6,2.95,17.7,0
540178,21212,12681,2011-01-05,24,0.55,13.2,0
540178,22352,12681,2011-01-05,6,2.55,15.3,0
540178,21086,12681,2011-01-05,12,0.65,7.8,0
540178,21238,12681,2011-01-05,8,0.85,6.8,0
540178,21064,12681,2011-01-05,2,5.95,11.9,0
540178,22961,12681,2011-01-05,12,1.45,17.4,0
540178,21786,12681,2011-01-05,24,0.42,10.08,0
540178,22027,12681,2011-01-05,12,0.42,5.04,0
540178,22037,12681,2011-01-05,12,0.42,5.04,0
540178,21224,12681,2011-01-05,10,1.25,12.5,0
540178,22904,12681,2011-01-05,6,2.95,17.7,0
540178,21544,12681,2011-01-05,12,0.85,10.2,0
540178,22620,12681,2011-01-05,12,1.25,15.0,0
540178,POST,12681,2011-01-05,3,18.0,54.0,0
540239,21977,12682,2011-01-05,24,0.55,13.2,0
540239,21976,12682,2011-01-05,24,0.55,13.2,0
540239,15056BL,12682,2011-01-05,9,5.95,53.55,0
540239,22451,12682,2011-01-05,6,3.35,20.1,0
540239,20866,12682,2011-01-05,12,1.25,15.0,0
540239,22331,12682,2011-01-05,8,1.65,13.2,0
540239,22895,12682,2011-01-05,6,2.95,17.7,0
540239,84279P,12682,2011-01-05,4,3.75,15.0,0
540239,22859,12682,2011-01-05,12,1.65,19.8,0
540239,22558,12682,2011-01-05,12,1.49,17.88,0
540239,22904,12682,2011-01-05,6,2.95,17.7,0
540239,22435,12682,2011-01-05,12,1.25,15.0,0
540239,21791,12682,2011-01-05,12,1.25,15.0,0
540239,22302,12682,2011-01-05,6,2.55,15.3,0
540239,10002,12682,2011-01-05,12,0.85,10.2,0
540239,22352,12682,2011-01-05,6,2.55,15.3,0
540239,21559,12682,2011-01-05,6,2.55,15.3,0
540239,22915,12682,2011-01-05,12,0.42,5.04,0
540239,22976,12682,2011-01-05,12,1.25,15.0,0
